name;vendor;category;functionality;expiration;service_name;service_url
amazon-pay-connectedAuth;Amazon Pay;Functional;with unknown functionality;session;Amazon Pay;https://cookiedatabase.org/service/amazon-pay/
ameliaRangePast;Amelia;Functional;toprovide functions across pages.;45 minutes;Amelia;https://cookiedatabase.org/service/amelia/
ameliaRangeFuture;Amelia;Functional;toprovide functions across pages.;45 minutes;Amelia;https://cookiedatabase.org/service/amelia/
ameliaToken;Amelia;Functional;toStore logged in users.;45 minutes;Amelia;https://cookiedatabase.org/service/amelia/
ameliaUserEmail;Amelia;Functional;toStore logged in users.;45 minutes;Amelia;https://cookiedatabase.org/service/amelia/
apc_user_id;AppCues;Preferences;tostore a unique user ID.;persistent;AppCues;https://cookiedatabase.org/service/appcues/
ajs_anonymous_id;Atlassian Jira Servicedesk;Statistics;tostore last visit.;1 year;Atlassian Jira Servicedesk;https://cookiedatabase.org/service/atlassian-jira-servicedesk/
ajs_group_id;Atlassian Jira Servicedesk;Unknown;with unknown functionality;at least one session;Atlassian Jira Servicedesk;https://cookiedatabase.org/service/atlassian-jira-servicedesk/
ajs_user_id;Atlassian Jira Servicedesk;Unknown;with unknown functionality;at least one session;Atlassian Jira Servicedesk;https://cookiedatabase.org/service/atlassian-jira-servicedesk/
asgarosforum_unique_id;Asgaros Forum;Functional;toprovide functions across pages.;17 years;Asgaros Forum;https://cookiedatabase.org/service/asgaros-forum/
asgarosforum_unread_exclude;Asgaros Forum;Functional;tostore if a message has been shown.;17 years;Asgaros Forum;https://cookiedatabase.org/service/asgaros-forum/
asgarosforum_unread_cleared;Asgaros Forum;Functional;tostore if a message has been shown.;17 years;Asgaros Forum;https://cookiedatabase.org/service/asgaros-forum/
wp_automatewoo_session_started;AutomateWoo;Functional;tostore time of visit.;session;AutomateWoo;https://cookiedatabase.org/service/automatewoo/
wp_automatewoo_visitor_*;AutomateWoo;Preferences;toStore and track interaction.;various;AutomateWoo;https://cookiedatabase.org/service/automatewoo/
autoptimize_feed;Autoptimize;Functional;tostore user preferences.;1 year;Autoptimize;https://cookiedatabase.org/service/autoptimize/
tk_ni;Automattic;Statistics;toprovide functions across pages.;various;Automattic;https://cookiedatabase.org/service/automattic/
tk_ai;Automattic;Statistics;tostore a unique user ID.;session;Automattic;https://cookiedatabase.org/service/automattic/
tk_qs;Automattic,Jetpack;Statistics;toprovide functions across pages.;30 minutes;Automattic;https://cookiedatabase.org/service/automattic/
AxiGoogleFonts;Auxin Elements;Unknown;with unknown functionality;at least one session;Auxin Elements;https://cookiedatabase.org/service/auxin-elements/
AxiGoogleFontsDate;Auxin Elements;Unknown;with unknown functionality;at least one session;Auxin Elements;https://cookiedatabase.org/service/auxin-elements/
fl-builder-settings-tab;Beaver Builder;Functional;with unknown functionality;session;Beaver Builder;https://cookiedatabase.org/service/beaver-builder/
_wpas_session;Awesome Support;Functional;toprovide functions across pages.;at least one session;Awesome Support;https://cookiedatabase.org/service/awesome-support/
fl-cache-updater-*;Beaver Builder;Functional;with unknown functionality;session;Beaver Builder;https://cookiedatabase.org/service/beaver-builder/
